paper,author,affiliations
Horizontal flows in the atmospheres of chemically peculiar stars,B. Kub'atov'a,"Astronomical Institute of the Czech Academy of Sciences, Fri\v{c}ova 298, 251 65 Ond{\v{r}}ejov, Czech Republic"

Gravitational waves and primordial black holes from the T-model inflation with Gauss-Bonnet correction,Peng-Bo Chen,"School of physics, Xidian University,Xi'an 710071, China"
Gravitational waves and primordial black holes from the T-model inflation with Gauss-Bonnet correction,Tie-Jun Gao,"School of physics, Xidian University,Xi'an 710071, China"

Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Panter,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,R.D.~Parsons,"Institut f"ur Physik, Humboldt-Universit"at zu Berlin, Newtonstr. 15, D 12489 Berlin, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,U.~Pensec,"Sorbonne Universit'e, CNRS/IN2P3, Laboratoire de Physique Nucl'eaire et de Hautes Energies, LPNHE, 4 place Jussieu, 75005 Paris, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,G.~P"uhlhofer,"Institut f"ur Astronomie und Astrophysik, Universit"at T"ubingen, Sand 1, D 72076 T"ubingen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.~Quirrenbach,"Landessternwarte, Universit"at Heidelberg, K"onigstuhl, D 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,S.~Ravikularaman,"Université Paris Cité, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France; Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Regeard,"Université Paris Cité, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.~Reimer,"Universit"at Innsbruck, Institut f"ur Astro- und Teilchenphysik, Technikerstraße 25, 6020 Innsbruck, Austria"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,O.~Reimer,"Universit"at Innsbruck, Institut f"ur Astro- und Teilchenphysik, Technikerstraße 25, 6020 Innsbruck, Austria"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,Q.~Remy,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,H.~Ren,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,B.~Reville,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,F.~Rieger,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,G.~Rowell,"School of Physical Sciences, University of Adelaide, Adelaide 5005, Australia"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,B.~Rudak,"Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, ul. Bartycka 18, 00-716 Warsaw, Poland"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,E.~Ruiz-Velasco,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,K.~Sabri,"Laboratoire Univers et Particules de Montpellier, Universit'e Montpellier, CNRS/IN2P3, CC 72, Place Eug`ene Bataillon, F-34095 Montpellier Cedex 5, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,V.~Sahakian,"Yerevan State University, 1 Alek Manukyan St, Yerevan 0025, Armenia"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,H.~Salzmann,"Institut f"ur Astronomie und Astrophysik, Universit"at T"ubingen, Sand 1, D 72076 T"ubingen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.~Santangelo,"Institut f"ur Astronomie und Astrophysik, Universit"at T"ubingen, Sand 1, D 72076 T"ubingen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Sasaki,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,J.~Sch"afer,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,F.~Sch"ussler,"IRFU, CEA, Universit'e Paris-Saclay, F-91191 Gif-sur-Yvette, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,H.M.~Schutte,"Centre for Space Research, North-West University, Potchefstroom 2520, South Africa"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,J.N.S.~Shapopi,"University of Namibia, Department of Physics, Private Bag 13301, Windhoek 10005, Namibia"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,S.~Spencer,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,{\L.}~Stawarz,"Obserwatorium Astronomiczne, Uniwersytet Jagiello{'n}ski, ul. Orla 171, 30-244 Krak{'o}w, Poland"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,R.~Steenkamp,"University of Namibia, Department of Physics, Private Bag 13301, Windhoek 10005, Namibia"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,S.~Steinmassl,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,C.~Steppa,"Institut f"ur Physik und Astronomie, Universit"at Potsdam, Karl-Liebknecht-Strasse 24/25, D 14476 Potsdam, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,K.~Streil,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,T.~Tanaka,"Department of Physics, Konan University, 8-9-1 Okamoto, Higashinada, Kobe, Hyogo 658-8501, Japan"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,R.~Terrier,"Université Paris Cité, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Tluczykont,"Universit"at Hamburg, Institut f"ur Experimentalphysik, Luruper Chaussee 149, D 22761 Hamburg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Tsirou,"Deutsches Elektronen-Synchrotron DESY, Platanenallee 6, 15738 Zeuthen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,N.~Tsuji,"RIKEN, 2-1 Hirosawa, Wako, Saitama 351-0198, Japan"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,C.vanEldik,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Vecchi,"Kapteyn Astronomical Institute, University of Groningen, Landleven 12, 9747 AD Groningen, The Netherlands"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,C.~Venter,"Centre for Space Research, North-West University, Potchefstroom 2520, South Africa"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,T.~Wach,"Friedrich-Alexander-Universit"at Erlangen-N"urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,S.J.~Wagner,"Landessternwarte, Universit"at Heidelberg, K"onigstuhl, D 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,F.~Werner,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,R.~White,"Max-Planck-Institut f"ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.~Wierzcholska,"Instytut Fizyki J\c{a}drowej PAN, ul. Radzikowskiego 152, 31-342 Krak{'o}w, Poland"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,M.~Zacharias,"Landessternwarte, Universit"at Heidelberg, K"onigstuhl, D 69117 Heidelberg, Germany; Centre for Space Research, North-West University, Potchefstroom 2520, South Africa"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.A.~Zdziarski,"Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, ul. Bartycka 18, 00-716 Warsaw, Poland"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,A.Zech,"Laboratoire Univers et Théories, Observatoire de Paris, Université PSL, CNRS, Université Paris Cité, 5 Pl. Jules Janssen, 92190 Meudon, France"
Detection of very-high-energy gamma-ray emission from Eta Carinae during its 2020 periastron passage,N..Zywucka,"Centre for Space Research, North-West University, Potchefstroom 2520, South Africa"

A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Cesare Cozza,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland"
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Kousuke Nakano,"Center for Basic Research on Materials, National Institute for Materials Science (NIMS), 1-2-1 Sengen, Tsukuba, Ibarbaraki 305-0047, Japan; Center for Emergent Matter Science (CEMS), RIKEN, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan."
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Saburo Howard,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland"
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Hao Xie,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland"
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Ravit Helled,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland"
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,Guglielmo Mazzola,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland"

The fine-scale structure of polar coronal holes,R. J. Morton,"Department of Maths Physics and Electrical Engineering \ Northumbria University, UK"
The fine-scale structure of polar coronal holes,R. Cunningham,"Department of Maths Physics and Electrical Engineering \ Northumbria University, UK"

DECH: Software Package for Astronomical Spectral Data Processing and Analysis,Gazinur A.Galazutdinov,"Federal State Budget Scientific Institution Crimean Astrophysical Observatory of RAS, Nauchny 298409, Crimea; Special Astrophysical Observatory of the Russian Academy of Sciences (SAO RAS), Nizhnii Arkhyz, Karachai-Cherkessian Republic 369167, Russia"

Implications of the intriguing constant inner mass surface density observed in dark matter halos,No author provided.,No affiliation provided.

On the nature of buckling instability in galactic bars,Ewa L.{\L}okas,"Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, Bartycka 18, 00-716 Warsaw, Poland"

X-ray emission from isolated neutron stars: latest results from XMM-Newton, NICER and eROSITA,M. Rigoselli,"INAF OA-Brera, via Brera, 28\ Milano 20121, Italy; INAF IASF-Milano, via A. Corti, 15\ Milano 20133, Italy"

The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Joel H. Kastner,"Center for Imaging Science, Rochester Institute of Technology, Rochester NY 14623, USA; School of Physics and Astronomy, Rochester Institute of Technology; Laboratory for Multiwavelength Astrophysics, Rochester Institute of Technology"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),David J. Wilner,"Center for Astrophysics, Harvard & Smithsonian, 60 Garden Street, Cambridge, MA 02138-1516, USA"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Diana Ryder,"School of Physics and Astronomy, Rochester Institute of Technology"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Paula Moraga Baez,"School of Physics and Astronomy, Rochester Institute of Technology"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Orsola De Marco,"School of Mathematical and Physical Sciences, Macquarie University, Sydney, New South Wales, Australia; Astronomy, Astrophysics and Astrophotonics Research Centre, Macquarie University, Sydney, New South Wales, Australia"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Raghvendra Sahai,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Al Wootten,"National Radio Astronomy Observatory, Charlottesville, VA 22903, USA"
The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720),Albert Zijlstra,"Jodrell Bank Center for Astrophysics, The University of Manchester, Oxford Road, Manchester M13 9PL, UK"

Conditions for radiative zones in the molecular hydrogen envelope of Jupiter and Saturn: The role of alkali metals,L. Siebenaler,"Leiden Observatory, University of Leiden, Einsteinweg 55, 2333CA Leiden, The Netherlands"
