Title,Author,Affiliations,Status
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Andrew B. Pace,"Department of Astronomy, University of Virginia, 530 McCormick Road, Charlottesville, VA 22904, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Denija Crnojevi\'c,"Department of Physics and Astronomy, University of Tampa, 401 West Kennedy Boulevard, Tampa, FL 33606, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Amandine Doliva-Dolinsky,"Department of Physics and Astronomy, Dartmouth College, Hanover, NH 03755, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,William Cerny,"Department of Astronomy, Yale University, New Haven, CT 06520, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Mairead E. Heiger,"Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto ON, M5S 3H4, Canada; Dunlap Institute for Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto ON, M5S 3H4, Canada",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Alex H. Riley,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Alexander P. Ji,"Department of Astronomy & Astrophysics, University of Chicago, 5640 S Ellis Avenue, Chicago, IL 60637, USA; Kavli Institute for Cosmological Physics, University of Chicago, Chicago, IL 60637, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Guilherme Limberg,"Kavli Institute for Cosmological Physics, University of Chicago, Chicago, IL 60637, USA; Universidade de S\~ao Paulo, IAG, Departamento de Astronomia, SP 05508-090, S\~ao Paulo, Brazil",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Laurella Marin,"Department of Physics and Astronomy, Dartmouth College, Hanover, NH 03755, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Clara E. Martínez-Vázquez,"International Gemini Observatory/NSF NOIRLab, 670 N. A'ohoku Place, Hilo, Hawai'i, 96720, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Gustavo E. Medina,"Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto ON, M5S 3H4, Canada",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Ting S. Li,"Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto ON, M5S 3H4, Canada",Complete
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,Xian Zhang,"Shanghai Astronomical Observatory, Chinese Academy of Sciences, Shanghai 200030, China",Complete
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,Wenfei Yu,"Shanghai Astronomical Observatory, Chinese Academy of Sciences, Shanghai 200030, China",Complete
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,Zhen Yan,"Shanghai Astronomical Observatory, Chinese Academy of Sciences, Shanghai 200030, China",Complete
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,Yi Xing,"Shanghai Astronomical Observatory, Chinese Academy of Sciences, Shanghai 200030, China",Complete
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,Bing Zhang,"The Nevada Center for Astrophysics, University of Nevada, Las Vegas, Las Vegas, NV 89154, USA; Department of Physics and Astronomy, University of Nevada, Las Vegas, Las Vegas, NV 89154, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Alessandro Savino,"Department of Astronomy, University of California, Berkeley, Berkeley, CA, 94720, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Daniel R. Weisz,"Department of Astronomy, University of California, Berkeley, Berkeley, CA, 94720, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Andrew E. Dolphin,"Raytheon, 1151 E. Hermans Road, Tucson, AZ 85756, USA; Steward Observatory, University of Arizona, 933 N. Cherry Avenue, Tucson, AZ 85719, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Meredith J. Durbin,"Department of Astronomy, University of California, Berkeley, Berkeley, CA, 94720, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Nitya Kallivayalil,"Department of Astronomy, University of Virginia, 530 McCormick Road, Charlottesville, VA 22904, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Andrew Wetzel,"Department of Physics and Astronomy, University of California, Davis, CA 95616, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Jay Anderson,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Gurtina Besla,"Department of Astronomy, University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Michael Boylan-Kolchin,"Department of Astronomy, The University of Texas at Austin, 2515 Speedway, Stop C1400, Austin, TX 78712, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Thomas M. Brown,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,James S. Bullock,"Department of Physics and Astronomy, University of California, Irvine, CA 92697 USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Andrew A. Cole,"School of Natural Sciences, University of Tasmania, Private Bag 37, Hobart, Tasmania 7001, Australia",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Michelle L.M. Collins,"Physics Department, University of Surrey, Guildford GU2 7XH, UK",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,M. C. Cooper,"Department of Physics and Astronomy, University of California, Irvine, CA 92697 USA",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Alis J. Deason,"Institute for Computational Cosmology, Department of Physics, Durham University, Durham DH1 3LE, UK",Complete
The Hubble Space Telescope Survey of M31 Satellite Galaxies IV. Survey Overview and Lifetime Star Formation Histories,Aaron L. Dotter,"Department of Physics and Astronomy, Dartmouth College, 6127 Wilder Laboratory, Hanover, NH 03755, USA",Complete
The Quasar Feedback Survey: zooming into the origin of radio emission with e-MERLIN,"Ann Njeri,^1",N/A,Incomplete
High flow speeds and transition-region like temperatures in the solar chromosphere during flux emergence,J. Leenaarts1,N/A,Incomplete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,A. Acharyya,"CP3-Origins, University of Southern Denmark, Campusvej 55, 5230 Odense M, Denmark",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,C. B. Adams,"Physics Department, Columbia University, New York, NY 10027, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,P. Bangale,"Department of Physics and Astronomy and the Bartol Research Institute, University of Delaware, Newark, DE 19716, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,J. T. Bartkoske,"Department of Physics and Astronomy, University of Utah, Salt Lake City, UT 84112, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,W. Benbow,"Center for Astrophysics $|$ Harvard \& Smithsonian, Cambridge, MA 02138, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,Y. Chen,"Department of Physics and Astronomy, University of California, Los Angeles, CA 90095, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,J. L. Christiansen,"Physics Department, California Polytechnic State University, San Luis Obispo, CA 94307, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,A. J. Chromey,"Center for Astrophysics $|$ Harvard \& Smithsonian, Cambridge, MA 02138, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,A. Duerr,"Department of Physics and Astronomy, University of Utah, Salt Lake City, UT 84112, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. Errando,"Department of Physics, Washington University, St. Louis, MO 63130, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. Escobar Godoy,"Santa Cruz Institute for Particle Physics and Department of Physics, University of California, Santa Cruz, CA 95064, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,A. Falcone,"Department of Astronomy and Astrophysics, 525 Davey Lab, Pennsylvania State University, University Park, PA 16802, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,S. Feldman,"Department of Physics and Astronomy, University of California, Los Angeles, CA 90095, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,Q. Feng,"Department of Physics and Astronomy, University of Utah, Salt Lake City, UT 84112, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,J. Foote,"Department of Physics and Astronomy and the Bartol Research Institute, University of Delaware, Newark, DE 19716, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,L. Fortson,"School of Physics and Astronomy, University of Minnesota, Minneapolis, MN 55455, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,A. Furniss,"Santa Cruz Institute for Particle Physics and Department of Physics, University of California, Santa Cruz, CA 95064, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,W. Hanlon,"Center for Astrophysics $|$ Harvard \& Smithsonian, Cambridge, MA 02138, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,D. Hanna,"Physics Department, McGill University, Montreal, QC H3A 2T8, Canada",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,O. Hervet,"Santa Cruz Institute for Particle Physics and Department of Physics, University of California, Santa Cruz, CA 95064, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,C. E. Hinrichs,"Center for Astrophysics $|$ Harvard \& Smithsonian, Cambridge, MA 02138, USA and Department of Physics and Astronomy, Dartmouth College, 6127 Wilder Laboratory, Hanover, NH 03755 USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,J. Holder,"Department of Physics and Astronomy and the Bartol Research Institute, University of Delaware, Newark, DE 19716, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,T. B. Humensky,"Department of Physics, University of Maryland, College Park, MD, USA and NASA GSFC, Greenbelt, MD 20771, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,W. Jin,"Department of Physics and Astronomy, University of California, Los Angeles, CA 90095, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. N. Johnson,"Santa Cruz Institute for Particle Physics and Department of Physics, University of California, Santa Cruz, CA 95064, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,P. Kaaret,"Department of Physics and Astronomy, University of Iowa, Van Allen Hall, Iowa City, IA 52242, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. Kertzman,"Department of Physics and Astronomy, DePauw University, Greencastle, IN 46135-0037, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. Kherlakian,"DESY, Platanenallee 6, 15738 Zeuthen, Germany",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,D. Kieda,"Department of Physics and Astronomy, University of Utah, Salt Lake City, UT 84112, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,T. K. Kleiner,"DESY, Platanenallee 6, 15738 Zeuthen, Germany",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,N. Korzoun,"Department of Physics and Astronomy and the Bartol Research Institute, University of Delaware, Newark, DE 19716, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,F. Krennrich,"Department of Physics and Astronomy, Iowa State University, Ames, IA 50011, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,S. Kumar,"Department of Physics, University of Maryland, College Park, MD, USA",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. J. Lang,"School of Natural Sciences, University of Galway, University Road, Galway, H91 TK33, Ireland",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. Lundy,"Physics Department, McGill University, Montreal, QC H3A 2T8, Canada",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,G. Maier,"DESY, Platanenallee 6, 15738 Zeuthen, Germany",Complete
An in-depth study of Gamma rays from the Starburst Galaxy M 82 with VERITAS,M. J. Millard,"Department of Physics and Astronomy, University of Iowa, Van Allen Hall, Iowa City, IA 52242, USA",Complete
